# List of all employees set to retire
# Name	ID Number	Birthday
Bergh Gracia	348016	15.5.1950
Sclater Bourque	978855	19.10.1950
Aba Keri	296407	6.11.1952
Adelaida Idel	388601	3.10.1952
Gypsie Holcomb	933098	12.7.1952
Loresz Kari	871253	19.6.1950
Creighton Toland	958253	21.12.1951
Agamemnon Geilich	853718	10.4.1950
Grace Natalee	555810	18.11.1951
Franky Prader	431608	12.11.1951
Eudoxia Evanthe	213006	16.5.1950
Tabb Irme	127361	15.10.1952
Lazor Tomlinson	457516	31.5.1951
Bertina Cassiani	550433	12.6.1951
Renaldo Wohlen	109223	3.7.1950
Bullock Crichton	486757	2.7.1952
Gregg Aia	411099	21.1.1952
Les Viviene	367077	29.1.1950
Gabrielson Asta	376975	17.9.1952
Steady Berwick	912564	1.10.1950
Deva Seta	477302	27.1.1950
Maisey Morgun	187124	22.9.1951
Atwood Calendra	579554	2.5.1952
Zebadiah Vail	849866	19.7.1952
